model,method,param,eff_bytes,cosine,jaccard10
distilbert,pca,d=64,262.5,0.80572,0.106
distilbert,rand_proj,d=64,262.4,0.30144,0.1263
distilbert,dct_f32,nnz=42,252.0,0.76095,0.1923
distilbert,fft_c64,nnz=42,420.0,0.78176,0.2219
distilbert,pq,m=256,281.8,0.98797,0.698
distilbert,pca,d=128,525.0,0.84074,0.2016
distilbert,rand_proj,d=128,524.9,0.38461,0.1874
distilbert,dct_f32,nnz=85,510.0,0.82575,0.2619
distilbert,fft_c64,nnz=85,850.0,0.85664,0.3018
distilbert,pca,d=256,1049.9,0.89068,0.3802
distilbert,rand_proj,d=256,1049.8,0.58501,0.3467
distilbert,dct_f32,nnz=170,1020.0,0.9007,0.3731
distilbert,fft_c64,nnz=170,1700.0,0.93936,0.465
gpt2,topk_f32,nnz=10,60.0,0.33838,0.0542
gpt2,wav_f32,nnz=10,60.0,0.1735,0.0156
gpt2,topk_i8,nnz=21,65.0,0.44075,0.0828
gpt2,wav_i8,nnz=21,65.0,0.33657,0.0456
gpt2,topk_f32,nnz=21,126.0,0.44075,0.0826
gpt2,wav_f32,nnz=21,126.0,0.33657,0.0458
gpt2,topk_i8,nnz=42,128.0,0.55666,0.1416
gpt2,wav_i8,nnz=42,128.0,0.46953,0.0846
gpt2,topk_f32,nnz=42,252.0,0.55667,0.1416
gpt2,wav_f32,nnz=42,252.0,0.46954,0.0846
gpt2,topk_i8,nnz=85,257.0,0.69131,0.2332
gpt2,wav_i8,nnz=85,257.0,0.6143,0.1679
gpt2,topk_f32,nnz=85,510.0,0.69132,0.2332
gpt2,wav_f32,nnz=85,510.0,0.61431,0.1675
gpt2,topk_i8,nnz=170,512.0,0.83017,0.374
gpt2,wav_i8,nnz=170,512.0,0.76372,0.3017
gpt2,topk_f32,nnz=170,1020.0,0.83018,0.374
gpt2,wav_f32,nnz=170,1020.0,0.76372,0.3014
gpt2,topk_i8,nnz=341,1025.0,0.94945,0.6179
gpt2,wav_i8,nnz=341,1025.0,0.90247,0.5064
gpt2,pca,d=16,65.0,0.57446,0.1049
gpt2,rand_proj,d=16,65.0,0.1401,0.0187
gpt2,dct_f32,nnz=10,60.0,0.31929,0.027
gpt2,fft_c64,nnz=10,100.0,0.34542,0.0305
gpt2,pq,m=64,79.6,0.80104,0.281
gpt2,pca,d=32,130.0,0.60503,0.1551
gpt2,rand_proj,d=32,130.0,0.20385,0.0402
gpt2,dct_f32,nnz=21,126.0,0.42396,0.0462
gpt2,fft_c64,nnz=21,210.0,0.4602,0.0539
gpt2,pq,m=128,143.6,0.91226,0.4981
gpt2,pca,d=64,260.0,0.65074,0.2221
gpt2,rand_proj,d=64,259.9,0.28006,0.0923
gpt2,dct_f32,nnz=42,252.0,0.54311,0.0878
gpt2,fft_c64,nnz=42,420.0,0.59126,0.1104
gpt2,pq,m=256,271.6,0.98211,0.7453
gpt2,pca,d=128,519.9,0.71817,0.34
gpt2,rand_proj,d=128,519.8,0.39885,0.175
gpt2,dct_f32,nnz=85,510.0,0.68234,0.1802
gpt2,fft_c64,nnz=85,850.0,0.74395,0.2361
gpt2,pca,d=256,1039.7,0.80866,0.4861
gpt2,rand_proj,d=256,1039.6,0.57481,0.3214
gpt2,dct_f32,nnz=170,1020.0,0.82584,0.3464
gpt2,fft_c64,nnz=170,1700.0,0.89566,0.4779
roberta-base,topk_f32,nnz=10,60.0,0.32956,0.0451
roberta-base,wav_f32,nnz=10,60.0,0.19901,0.0163
roberta-base,topk_i8,nnz=21,65.0,0.43395,0.0751
roberta-base,wav_i8,nnz=21,65.0,0.34818,0.0377
roberta-base,topk_f32,nnz=21,126.0,0.43396,0.0751
roberta-base,wav_f32,nnz=21,126.0,0.34818,0.0377
roberta-base,topk_i8,nnz=42,128.0,0.55026,0.1317
roberta-base,wav_i8,nnz=42,128.0,0.47933,0.0747
roberta-base,topk_f32,nnz=42,252.0,0.55026,0.1319
roberta-base,wav_f32,nnz=42,252.0,0.47933,0.0745
roberta-base,topk_i8,nnz=85,257.0,0.6952,0.2632
roberta-base,wav_i8,nnz=85,257.0,0.62214,0.1566
roberta-base,topk_f32,nnz=85,510.0,0.69521,0.2632
roberta-base,wav_f32,nnz=85,510.0,0.62215,0.1568
roberta-base,topk_i8,nnz=170,512.0,0.84698,0.449
roberta-base,wav_i8,nnz=170,512.0,0.76902,0.3127
roberta-base,topk_f32,nnz=170,1020.0,0.84699,0.4493
roberta-base,wav_f32,nnz=170,1020.0,0.76903,0.3128
roberta-base,topk_i8,nnz=341,1025.0,0.9589,0.6786
roberta-base,wav_i8,nnz=341,1025.0,0.9053,0.5346
roberta-base,pca,d=16,65.0,0.36174,0.1841
roberta-base,rand_proj,d=16,65.0,0.14223,0.0243
roberta-base,dct_f32,nnz=10,60.0,0.32628,0.0259
roberta-base,fft_c64,nnz=10,100.0,0.34921,0.0286
roberta-base,pq,m=64,79.6,0.72234,0.2502
roberta-base,pca,d=32,130.0,0.42213,0.2311
roberta-base,rand_proj,d=32,130.0,0.20297,0.0488
roberta-base,dct_f32,nnz=21,126.0,0.42957,0.0447
roberta-base,fft_c64,nnz=21,210.0,0.46337,0.0551
roberta-base,pq,m=128,143.6,0.87986,0.4811
roberta-base,pca,d=64,260.0,0.50412,0.2957
roberta-base,rand_proj,d=64,259.9,0.28522,0.0886
roberta-base,dct_f32,nnz=42,252.0,0.54742,0.0918
roberta-base,fft_c64,nnz=42,420.0,0.59377,0.1171
roberta-base,pq,m=256,271.6,0.97583,0.7392
roberta-base,pca,d=128,519.9,0.61777,0.3914
roberta-base,rand_proj,d=128,519.8,0.4075,0.1715
roberta-base,dct_f32,nnz=85,510.0,0.68538,0.1998
roberta-base,fft_c64,nnz=85,850.0,0.74565,0.2734
roberta-base,pca,d=256,1039.7,0.75719,0.5311
roberta-base,rand_proj,d=256,1039.6,0.57786,0.3011
roberta-base,dct_f32,nnz=170,1020.0,0.82728,0.3938
roberta-base,fft_c64,nnz=170,1700.0,0.89638,0.5156
deberta-base,topk_f32,nnz=10,60.0,0.32134,0.0357
deberta-base,wav_f32,nnz=10,60.0,0.24207,0.0162
deberta-base,topk_i8,nnz=21,65.0,0.42522,0.0545
deberta-base,wav_i8,nnz=21,65.0,0.36924,0.0351
deberta-base,topk_f32,nnz=21,126.0,0.42522,0.0546
deberta-base,wav_f32,nnz=21,126.0,0.36924,0.0352
deberta-base,topk_i8,nnz=42,128.0,0.54356,0.0961
deberta-base,wav_i8,nnz=42,128.0,0.49054,0.0659
deberta-base,topk_f32,nnz=42,252.0,0.54356,0.0961
deberta-base,wav_f32,nnz=42,252.0,0.49054,0.0658
deberta-base,topk_i8,nnz=85,257.0,0.68246,0.1874
deberta-base,wav_i8,nnz=85,257.0,0.62665,0.1338
deberta-base,topk_f32,nnz=85,510.0,0.68246,0.1872
deberta-base,wav_f32,nnz=85,510.0,0.62666,0.1341
deberta-base,topk_i8,nnz=170,512.0,0.82563,0.3745
deberta-base,wav_i8,nnz=170,512.0,0.7703,0.2881
deberta-base,topk_f32,nnz=170,1020.0,0.82564,0.3745
deberta-base,wav_f32,nnz=170,1020.0,0.77031,0.2882
deberta-base,topk_i8,nnz=341,1025.0,0.948,0.6346
deberta-base,wav_i8,nnz=341,1025.0,0.90507,0.5219
deberta-base,pca,d=16,65.0,0.38346,0.1773
deberta-base,rand_proj,d=16,65.0,0.14118,0.0268
deberta-base,dct_f32,nnz=10,60.0,0.35121,0.0309
deberta-base,fft_c64,nnz=10,100.0,0.3724,0.0337
deberta-base,pq,m=64,79.6,0.72217,0.241
deberta-base,pca,d=32,130.0,0.43979,0.2194
deberta-base,rand_proj,d=32,130.0,0.20346,0.0485
deberta-base,dct_f32,nnz=21,126.0,0.44773,0.051
deberta-base,fft_c64,nnz=21,210.0,0.47982,0.0596
deberta-base,pq,m=128,143.6,0.87838,0.475
deberta-base,pca,d=64,260.0,0.5172,0.2836
deberta-base,rand_proj,d=64,259.9,0.28662,0.0887
deberta-base,dct_f32,nnz=42,252.0,0.55986,0.0914
deberta-base,fft_c64,nnz=42,420.0,0.60441,0.1175
deberta-base,pq,m=256,271.6,0.97548,0.7363
deberta-base,pca,d=128,519.9,0.61853,0.3767
deberta-base,rand_proj,d=128,519.8,0.40666,0.17
deberta-base,dct_f32,nnz=85,510.0,0.69287,0.1956
deberta-base,fft_c64,nnz=85,850.0,0.75123,0.2682
deberta-base,pca,d=256,1039.7,0.74723,0.5075
deberta-base,rand_proj,d=256,1039.6,0.57599,0.2979
deberta-base,dct_f32,nnz=170,1020.0,0.83117,0.3791
deberta-base,fft_c64,nnz=170,1700.0,0.89816,0.5135
tinyllama,topk_f32,nnz=10,60.0,0.22066,0.0225
tinyllama,wav_f32,nnz=10,60.0,0.12603,0.0087
tinyllama,topk_i8,nnz=21,65.0,0.29598,0.0301
tinyllama,wav_i8,nnz=21,65.0,0.25005,0.017
tinyllama,topk_f32,nnz=21,126.0,0.29598,0.0301
tinyllama,wav_f32,nnz=21,126.0,0.25005,0.017
tinyllama,topk_i8,nnz=42,128.0,0.38524,0.0409
tinyllama,wav_i8,nnz=42,128.0,0.35869,0.0285
tinyllama,topk_f32,nnz=42,252.0,0.38524,0.0409
tinyllama,wav_f32,nnz=42,252.0,0.35869,0.0285
tinyllama,topk_i8,nnz=85,257.0,0.49663,0.0685
tinyllama,wav_i8,nnz=85,257.0,0.48139,0.0503
tinyllama,pca,d=16,68.4,0.20066,0.0935
tinyllama,rand_proj,d=16,68.1,0.08651,0.0102
tinyllama,dct_f32,nnz=10,60.0,0.21661,0.0099
tinyllama,fft_c64,nnz=10,100.0,0.23231,0.0092
tinyllama,pq,m=64,129.5,0.44774,0.0419
tinyllama,pca,d=32,136.4,0.23104,0.1169
tinyllama,rand_proj,d=32,136.2,0.12344,0.0132
tinyllama,dct_f32,nnz=21,126.0,0.29202,0.014
tinyllama,fft_c64,nnz=21,210.0,0.31467,0.0164
tinyllama,pq,m=128,193.5,0.62414,0.1054
tinyllama,pca,d=64,272.6,0.27506,0.1437
tinyllama,rand_proj,d=64,272.4,0.17552,0.0249
tinyllama,dct_f32,nnz=42,252.0,0.38146,0.0226
tinyllama,fft_c64,nnz=42,420.0,0.41277,0.0256
tinyllama,pq,m=256,321.5,0.80227,0.2639
tinyllama,pca,d=128,545.0,0.3383,0.1727
tinyllama,rand_proj,d=128,544.8,0.24776,0.0412
tinyllama,dct_f32,nnz=85,510.0,0.49338,0.0444
tinyllama,fft_c64,nnz=85,850.0,0.5359,0.0548
tinyllama,pq,m=512,577.5,0.93899,0.5304
tinyllama,pca,d=256,1089.8,0.42894,0.2119
tinyllama,rand_proj,d=256,1089.5,0.35196,0.0773
tinyllama,dct_f32,nnz=170,1020.0,0.62304,0.0941
tinyllama,fft_c64,nnz=170,1700.0,0.67868,0.1324
tinyllama,pq,m=1024,1089.5,0.99116,0.8189
