model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
distilbert,topk_f32,64,nnz=10,0.3128,0.0522,60,
distilbert,wav_f32,64,nnz=10,0.65183,0.0267,60,
distilbert,topk_i8,64,nnz=21,0.4096,0.068,63,
distilbert,wav_i8,64,nnz=21,0.69487,0.1154,63,
distilbert,topk_f32,128,nnz=21,0.40961,0.0678,126,
distilbert,wav_f32,128,nnz=21,0.69487,0.1151,126,
distilbert,topk_i8,128,nnz=42,0.52075,0.0895,126,
distilbert,wav_i8,128,nnz=42,0.7457,0.2112,126,
distilbert,topk_f32,256,nnz=42,0.52075,0.0898,252,
distilbert,wav_f32,256,nnz=42,0.74571,0.2114,252,
distilbert,topk_i8,256,nnz=85,0.65392,0.1083,255,
distilbert,wav_i8,256,nnz=85,0.80927,0.2792,255,
distilbert,topk_f32,512,nnz=85,0.65392,0.1084,510,
distilbert,wav_f32,512,nnz=85,0.80929,0.2792,510,
distilbert,topk_i8,512,nnz=170,0.79867,0.1395,510,
distilbert,wav_i8,512,nnz=170,0.87984,0.3777,510,
distilbert,topk_f32,1024,nnz=170,0.79868,0.1395,1020,
distilbert,wav_f32,1024,nnz=170,0.87988,0.3776,1020,
distilbert,topk_i8,1024,nnz=341,0.93343,0.2024,1023,
distilbert,wav_i8,1024,nnz=341,0.94922,0.5312,1023,
distilbert,pca,64,d=16,0.77168,0.0473,65.7,
distilbert,rand_proj,64,d=16,0.1338,0.0273,65.6,
distilbert,dct_f32,64,nnz=10,0.6788,0.1261,60,
distilbert,fft_c64,64,nnz=10,0.68568,0.1272,100,
distilbert,pq,64,m=64,0.87701,0.3189,89.8,
distilbert,pca,128,d=32,0.78395,0.0672,131.3,
distilbert,rand_proj,128,d=32,0.20668,0.0636,131.2,
distilbert,dct_f32,128,nnz=21,0.71337,0.1559,126,
distilbert,fft_c64,128,nnz=21,0.72615,0.1731,210,
distilbert,pq,128,m=128,0.94302,0.4824,153.8,
distilbert,pca,256,d=64,0.80572,0.106,262.5,
distilbert,rand_proj,256,d=64,0.30144,0.1263,262.4,
distilbert,dct_f32,256,nnz=42,0.76095,0.1923,252,
distilbert,fft_c64,256,nnz=42,0.78176,0.2219,420,
distilbert,pq,256,m=256,0.98797,0.698,281.8,
distilbert,pca,512,d=128,0.84074,0.2016,525.0,
distilbert,rand_proj,512,d=128,0.38461,0.1874,524.9,
distilbert,dct_f32,512,nnz=85,0.82575,0.2619,510,
distilbert,fft_c64,512,nnz=85,0.85664,0.3018,850,
distilbert,pca,1024,d=256,0.89068,0.3802,1049.9,
distilbert,rand_proj,1024,d=256,0.58501,0.3467,1049.8,
distilbert,dct_f32,1024,nnz=170,0.9007,0.3731,1020,
distilbert,fft_c64,1024,nnz=170,0.93936,0.465,1700,
