model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
bert-base,topk_f32,64,nnz=10,0.31752,0.0365,60,
bert-base,wav_f32,64,nnz=10,0.57348,0.0341,60,
bert-base,topk_i8,64,nnz=21,0.41866,0.05,63,
bert-base,wav_i8,64,nnz=21,0.62536,0.1436,63,
bert-base,topk_f32,128,nnz=21,0.41866,0.0498,126,
bert-base,wav_f32,128,nnz=21,0.62537,0.1437,126,
bert-base,topk_i8,128,nnz=42,0.53482,0.0678,126,
bert-base,wav_i8,128,nnz=42,0.6861,0.1791,126,
bert-base,topk_f32,256,nnz=42,0.53482,0.0679,252,
bert-base,wav_f32,256,nnz=42,0.68611,0.1787,252,
bert-base,topk_i8,256,nnz=85,0.67186,0.0928,255,
bert-base,wav_i8,256,nnz=85,0.76375,0.2118,255,
bert-base,topk_f32,512,nnz=85,0.67187,0.0928,510,
bert-base,wav_f32,512,nnz=85,0.76376,0.212,510,
bert-base,topk_i8,512,nnz=170,0.81615,0.1445,510,
bert-base,wav_i8,512,nnz=170,0.85127,0.2783,510,
bert-base,topk_f32,1024,nnz=170,0.81615,0.1448,1020,
bert-base,wav_f32,1024,nnz=170,0.8513,0.2788,1020,
bert-base,topk_i8,1024,nnz=341,0.9432,0.2527,1023,
bert-base,wav_i8,1024,nnz=341,0.93751,0.4063,1023,
bert-base,pca,64,d=16,0.70535,0.0308,65.7,
bert-base,rand_proj,64,d=16,0.13338,0.0217,65.6,
bert-base,dct_f32,64,nnz=10,0.61103,0.0939,60,
bert-base,fft_c64,64,nnz=10,0.62001,0.1019,100,
bert-base,pq,64,m=64,0.84879,0.243,89.8,
bert-base,pca,128,d=32,0.71951,0.0449,131.3,
bert-base,rand_proj,128,d=32,0.20918,0.0451,131.2,
bert-base,dct_f32,128,nnz=21,0.65517,0.1192,126,
bert-base,fft_c64,128,nnz=21,0.67142,0.1344,210,
bert-base,pq,128,m=128,0.93099,0.354,153.8,
bert-base,pca,256,d=64,0.74507,0.0861,262.5,
bert-base,rand_proj,256,d=64,0.30119,0.1038,262.4,
bert-base,dct_f32,256,nnz=42,0.71469,0.1552,252,
bert-base,fft_c64,256,nnz=42,0.74028,0.1694,420,
bert-base,pq,256,m=256,0.98563,0.5671,281.8,
bert-base,pca,512,d=128,0.78707,0.1812,525.0,
bert-base,rand_proj,512,d=128,0.38796,0.1758,524.9,
bert-base,dct_f32,512,nnz=85,0.79379,0.2062,510,
bert-base,fft_c64,512,nnz=85,0.83079,0.2301,850,
bert-base,pca,1024,d=256,0.85086,0.3401,1049.9,
bert-base,rand_proj,1024,d=256,0.58452,0.3148,1049.8,
bert-base,dct_f32,1024,nnz=170,0.88336,0.2876,1020,
bert-base,fft_c64,1024,nnz=170,0.92896,0.365,1700,
