layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.46678,2.59233,1.87445,2.1802,7.2254,0.0000,0.5545,0.05805,0.2764
1,12,5.71912,3.08435,2.63477,1.5398,7.0158,0.0000,0.6075,0.04884,0.4330
2,12,7.79041,3.52215,4.26826,1.0630,7.0388,0.0000,0.6047,0.05821,0.4714
3,12,5.52801,2.82843,2.69958,1.2891,7.1577,0.0000,0.5753,0.05521,0.4930
4,12,6.59601,3.44626,3.14975,1.1432,6.9924,0.0000,0.6170,0.04671,0.4330
5,12,8.13351,4.10857,4.02494,1.0772,6.7411,0.0000,0.6708,0.03701,0.4930
6,12,8.11086,3.99376,4.11709,1.0411,6.7825,0.0000,0.6698,0.03677,0.5000
7,12,9.04229,4.65392,4.38837,1.1924,6.6945,0.0000,0.6779,0.03535,0.5000
8,12,7.12684,3.80723,3.31961,1.2681,6.8090,0.0000,0.6564,0.04147,0.4714
9,12,6.82338,3.72869,3.09469,1.4031,6.8162,0.0000,0.6558,0.03585,0.4330
10,12,11.52451,6.58107,4.94344,1.5474,6.7366,0.0000,0.6794,0.03353,0.2764
11,12,7.87223,6.09683,1.77540,3.5536,6.6459,0.0000,0.6946,0.02768,0.0000
