anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,db4,sound,2,0.10,0.9998,33.650,0.2165,1.000
bark,db4,sound,2,0.20,0.9984,25.046,0.5841,1.000
bark,db4,sound,2,0.30,0.9944,19.491,1.1043,1.000
bark,db4,sound,2,0.40,0.9865,15.728,1.7034,1.000
bark,db4,sound,2,0.50,0.9722,12.604,2.4404,1.000
bark,db4,tree,2,0.10,0.9998,34.366,0.1993,1.000
bark,db4,tree,2,0.20,0.9985,25.232,0.5708,1.000
bark,db4,tree,2,0.30,0.9946,19.709,1.0784,1.000
bark,db4,tree,2,0.40,0.9868,15.828,1.6849,1.000
bark,db4,tree,2,0.50,0.9730,12.742,2.4031,1.000
