sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,135.3840,5.4027,129.9812,9.5268,0.4377,0.0413
tree,2,136.3723,5.2327,131.1395,9.5397,0.4317,0.0400
