predictor,pearson_r,spearman_rho,kendall_tau,aggregate_kl,aggregate_cosine
wavelet,+0.1863,+0.1985,+0.1111,0.00000,0.00258
wavelet_entropy,+0.0079,+0.0311,+0.0219,0.00000,0.00258
attention_entropy,+0.0079,+0.0311,+0.0219,0.00000,0.00258
attention_entropy_true,-0.3995,-0.5139,-0.3772,0.00000,0.00258
attention_weight,+0.3555,+0.4397,+0.3185,0.00000,0.00258
magnitude,+0.3863,+0.4743,+0.3459,0.00000,0.00258
random,+0.3040,+0.1499,+0.1025,0.00000,0.00258
