token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,db4,0.10,0.9999,36.396,0.0152,0.000,0.0001
2,db4,0.20,0.9988,26.182,0.0492,0.000,0.0012
2,db4,0.30,0.9954,20.416,0.0955,0.000,0.0046
2,db4,0.40,0.9885,16.420,0.1513,0.000,0.0115
2,db4,0.50,0.9763,13.289,0.2170,0.000,0.0237
##s,db4,0.10,0.9998,33.639,0.0213,0.000,0.0002
##s,db4,0.20,0.9983,24.710,0.0596,0.000,0.0017
##s,db4,0.30,0.9942,19.403,0.1098,0.000,0.0058
##s,db4,0.40,0.9871,15.908,0.1643,0.000,0.0129
##s,db4,0.50,0.9743,12.950,0.2309,0.000,0.0257
happy,db4,0.10,0.9998,34.800,0.0190,0.000,0.0002
happy,db4,0.20,0.9985,25.232,0.0570,0.000,0.0015
happy,db4,0.30,0.9945,19.587,0.1093,0.000,0.0055
happy,db4,0.40,0.9860,15.554,0.1738,0.000,0.0140
happy,db4,0.50,0.9733,12.776,0.2394,0.000,0.0267
million,db4,0.10,0.9998,33.504,0.0251,0.000,0.0002
million,db4,0.20,0.9986,25.386,0.0640,0.000,0.0014
million,db4,0.30,0.9948,19.881,0.1206,0.000,0.0052
million,db4,0.40,0.9870,15.892,0.1909,0.000,0.0130
million,db4,0.50,0.9714,12.483,0.2827,0.000,0.0286
[SEP],db4,0.10,0.9998,35.168,0.0134,0.053,0.0002
[SEP],db4,0.20,0.9988,26.323,0.0370,0.000,0.0012
[SEP],db4,0.30,0.9961,21.080,0.0676,0.053,0.0039
[SEP],db4,0.40,0.9908,17.393,0.1034,0.053,0.0092
[SEP],db4,0.50,0.9803,14.085,0.1513,0.053,0.0197
[PAD],db4,0.10,0.9999,38.067,0.0145,0.000,0.0001
[PAD],db4,0.20,0.9993,28.798,0.0421,0.000,0.0007
[PAD],db4,0.30,0.9976,23.202,0.0803,0.000,0.0024
[PAD],db4,0.40,0.9939,19.152,0.1280,0.000,0.0061
[PAD],db4,0.50,0.9864,15.685,0.1907,0.000,0.0136
is,db4,0.10,0.9998,33.505,0.0184,0.000,0.0002
is,db4,0.20,0.9981,24.207,0.0537,0.000,0.0019
is,db4,0.30,0.9939,19.123,0.0964,0.000,0.0061
is,db4,0.40,0.9843,15.059,0.1540,0.000,0.0157
is,db4,0.50,0.9684,12.066,0.2173,0.000,0.0316
queen,db4,0.10,0.9997,32.824,0.0250,0.000,0.0003
queen,db4,0.20,0.9981,24.251,0.0672,0.000,0.0019
queen,db4,0.30,0.9945,19.561,0.1153,0.000,0.0055
queen,db4,0.40,0.9854,15.391,0.1863,0.000,0.0146
queen,db4,0.50,0.9712,12.465,0.2609,0.000,0.0288
?,db4,0.10,0.9998,33.855,0.0182,0.000,0.0002
?,db4,0.20,0.9981,24.154,0.0557,0.000,0.0019
?,db4,0.30,0.9937,19.044,0.1003,0.000,0.0063
?,db4,0.40,0.9856,15.431,0.1521,0.000,0.0144
?,db4,0.50,0.9708,12.404,0.2154,0.000,0.0292
1,db4,0.10,0.9999,35.913,0.0157,0.000,0.0001
1,db4,0.20,0.9987,25.785,0.0505,0.000,0.0013
1,db4,0.30,0.9951,20.127,0.0969,0.000,0.0049
1,db4,0.40,0.9878,16.164,0.1529,0.000,0.0122
1,db4,0.50,0.9759,13.222,0.2145,0.000,0.0241
sad,db4,0.10,0.9998,33.105,0.0267,0.000,0.0002
sad,db4,0.20,0.9985,25.161,0.0665,0.000,0.0015
sad,db4,0.30,0.9946,19.674,0.1252,0.000,0.0054
sad,db4,0.40,0.9877,16.107,0.1887,0.000,0.0123
sad,db4,0.50,0.9752,13.098,0.2669,0.053,0.0248
",",db4,0.10,0.9999,36.327,0.0129,0.000,0.0001
",",db4,0.20,0.9987,26.007,0.0422,0.000,0.0013
",",db4,0.30,0.9960,21.014,0.0750,0.000,0.0040
",",db4,0.40,0.9901,17.044,0.1185,0.000,0.0099
",",db4,0.50,0.9784,13.691,0.1743,0.000,0.0216
100,db4,0.10,0.9999,35.789,0.0183,0.053,0.0001
100,db4,0.20,0.9989,26.759,0.0519,0.053,0.0011
100,db4,0.30,0.9962,21.255,0.0977,0.053,0.0038
100,db4,0.40,0.9908,17.370,0.1529,0.053,0.0092
100,db4,0.50,0.9797,13.965,0.2262,0.053,0.0203
thousand,db4,0.10,0.9999,35.753,0.0196,0.000,0.0001
thousand,db4,0.20,0.9988,26.224,0.0587,0.000,0.0012
thousand,db4,0.30,0.9954,20.388,0.1150,0.000,0.0046
thousand,db4,0.40,0.9877,16.134,0.1876,0.000,0.0123
thousand,db4,0.50,0.9739,12.876,0.2730,0.000,0.0261
man,db4,0.10,0.9998,33.979,0.0202,0.000,0.0002
man,db4,0.20,0.9984,24.818,0.0581,0.000,0.0016
man,db4,0.30,0.9947,19.749,0.1042,0.000,0.0053
man,db4,0.40,0.9872,15.938,0.1616,0.000,0.0128
man,db4,0.50,0.9718,12.552,0.2386,0.000,0.0282
city,db4,0.10,0.9997,32.747,0.0225,0.000,0.0003
city,db4,0.20,0.9981,24.297,0.0596,0.000,0.0019
city,db4,0.30,0.9940,19.230,0.1069,0.000,0.0060
city,db4,0.40,0.9844,15.081,0.1723,0.000,0.0156
city,db4,0.50,0.9683,12.047,0.2443,0.000,0.0317
read,db4,0.10,0.9998,33.472,0.0253,0.000,0.0002
read,db4,0.20,0.9985,25.257,0.0652,0.000,0.0015
read,db4,0.30,0.9950,20.032,0.1189,0.000,0.0050
read,db4,0.40,0.9868,15.803,0.1936,0.000,0.0132
read,db4,0.50,0.9725,12.654,0.2782,0.000,0.0275
the,db4,0.10,0.9999,36.361,0.0125,0.000,0.0001
the,db4,0.20,0.9990,27.011,0.0367,0.000,0.0010
the,db4,0.30,0.9963,21.334,0.0705,0.000,0.0037
the,db4,0.40,0.9903,17.160,0.1139,0.000,0.0097
the,db4,0.50,0.9793,13.876,0.1663,0.000,0.0207
it,db4,0.10,0.9998,34.258,0.0176,0.000,0.0002
it,db4,0.20,0.9985,25.216,0.0498,0.000,0.0015
it,db4,0.30,0.9948,19.817,0.0927,0.000,0.0052
it,db4,0.40,0.9871,15.906,0.1454,0.000,0.0129
it,db4,0.50,0.9726,12.676,0.2108,0.000,0.0274
king,db4,0.10,0.9998,35.190,0.0175,0.000,0.0002
king,db4,0.20,0.9981,24.232,0.0617,0.000,0.0019
king,db4,0.30,0.9942,19.338,0.1083,0.000,0.0058
king,db4,0.40,0.9854,15.369,0.1711,0.000,0.0146
king,db4,0.50,0.9721,12.597,0.2354,0.000,0.0279
ugly,db4,0.10,0.9998,34.500,0.0229,0.000,0.0002
ugly,db4,0.20,0.9987,25.792,0.0624,0.000,0.0013
ugly,db4,0.30,0.9945,19.579,0.1276,0.000,0.0055
ugly,db4,0.40,0.9852,15.311,0.2086,0.000,0.0148
ugly,db4,0.50,0.9712,12.455,0.2899,0.000,0.0288
computer,db4,0.10,0.9998,33.528,0.0223,0.000,0.0002
computer,db4,0.20,0.9982,24.433,0.0636,0.000,0.0018
computer,db4,0.30,0.9940,19.190,0.1164,0.000,0.0060
computer,db4,0.40,0.9855,15.412,0.1798,0.000,0.0145
computer,db4,0.50,0.9721,12.590,0.2488,0.000,0.0279
apple,db4,0.10,0.9998,34.673,0.0233,0.000,0.0002
apple,db4,0.20,0.9983,24.655,0.0737,0.000,0.0017
apple,db4,0.30,0.9940,19.222,0.1378,0.000,0.0060
apple,db4,0.40,0.9851,15.300,0.2164,0.000,0.0149
apple,db4,0.50,0.9700,12.280,0.3064,0.000,0.0300
language,db4,0.10,0.9998,34.312,0.0214,0.000,0.0002
language,db4,0.20,0.9984,25.047,0.0620,0.000,0.0016
language,db4,0.30,0.9940,19.209,0.1215,0.000,0.0060
language,db4,0.40,0.9848,15.209,0.1926,0.000,0.0152
language,db4,0.50,0.9698,12.254,0.2706,0.000,0.0302
orange,db4,0.10,0.9998,33.331,0.0253,0.000,0.0002
orange,db4,0.20,0.9983,24.758,0.0680,0.000,0.0017
orange,db4,0.30,0.9949,19.900,0.1189,0.000,0.0051
orange,db4,0.40,0.9876,16.069,0.1848,0.000,0.0124
orange,db4,0.50,0.9729,12.717,0.2718,0.000,0.0271
for,db4,0.10,0.9997,32.426,0.0211,0.000,0.0003
for,db4,0.20,0.9980,24.060,0.0552,0.000,0.0020
for,db4,0.30,0.9935,18.881,0.1002,0.000,0.0065
for,db4,0.40,0.9831,14.749,0.1612,0.000,0.0169
for,db4,0.50,0.9691,12.153,0.2173,0.000,0.0309
write,db4,0.10,0.9998,34.668,0.0213,0.053,0.0002
write,db4,0.20,0.9986,25.462,0.0614,0.053,0.0014
write,db4,0.30,0.9949,19.920,0.1161,0.053,0.0051
write,db4,0.40,0.9866,15.752,0.1877,0.053,0.0134
write,db4,0.50,0.9714,12.489,0.2732,0.053,0.0286
woman,db4,0.10,0.9998,35.171,0.0169,0.000,0.0002
woman,db4,0.20,0.9987,25.959,0.0487,0.000,0.0013
woman,db4,0.30,0.9952,20.199,0.0945,0.000,0.0048
woman,db4,0.40,0.9864,15.670,0.1592,0.000,0.0136
woman,db4,0.50,0.9739,12.875,0.2196,0.000,0.0261
tall,db4,0.10,0.9999,35.715,0.0186,0.000,0.0001
tall,db4,0.20,0.9987,25.765,0.0585,0.000,0.0013
tall,db4,0.30,0.9946,19.714,0.1173,0.000,0.0054
tall,db4,0.40,0.9851,15.303,0.1950,0.000,0.0149
tall,db4,0.50,0.9705,12.354,0.2738,0.000,0.0295
