sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,63176.8989,8360.5836,54816.3153,7.0628,0.8430,0.1526
river,3,49920.9027,6666.2335,43254.6692,7.1348,0.8320,0.1543
