layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.54866,8.47249,2.07616,3.8293,6.3682,1.7310,0.7395,0.00000,1.4907
1,12,8.60415,6.70751,1.89664,3.7005,6.0585,1.7568,0.7845,0.00000,0.0000
2,12,8.70532,6.86804,1.83729,3.8316,6.1754,1.7650,0.7694,0.00000,0.0000
3,12,10.31094,8.31195,1.99898,4.2363,5.9921,1.6878,0.7839,0.00000,0.0000
4,12,11.83779,9.72012,2.11767,4.6014,5.8280,1.6468,0.8121,0.00000,0.0000
5,12,11.65740,9.33867,2.31872,4.0332,5.4273,1.6881,0.8459,0.00000,0.0000
6,12,10.83417,8.56186,2.27231,3.7753,5.5222,1.7244,0.8386,0.00000,0.0000
7,12,12.27216,9.83707,2.43509,4.0506,5.2362,1.6847,0.8611,0.00000,0.0000
8,12,11.35537,9.04727,2.30809,3.9561,5.5099,1.7046,0.8432,0.00000,0.0000
9,12,12.71334,9.98113,2.73221,3.7310,5.2000,1.7198,0.8704,0.00000,0.0000
10,12,12.61149,9.95418,2.65731,3.8297,5.2996,1.7056,0.8607,0.00000,0.0000
11,12,11.33782,8.64633,2.69149,3.2169,5.4801,1.7513,0.8355,0.00000,1.1055
