predictor,ratio,cosine_drop,kl_div,attention_drift
wavelet,0.05,0.0010,nan,1.2052
wavelet,0.10,0.0030,nan,2.1530
wavelet,0.20,0.0258,nan,3.2368
wavelet,0.30,0.0345,nan,3.9273
wavelet,0.50,0.1154,nan,6.2103
attention_entropy,0.05,0.0007,nan,1.4870
attention_entropy,0.10,0.0061,nan,2.3865
attention_entropy,0.20,0.0377,nan,3.1444
attention_entropy,0.30,0.0770,nan,3.6690
attention_entropy,0.50,0.1803,nan,4.7913
attention_weight,0.05,0.0354,nan,1.1451
attention_weight,0.10,0.0349,nan,1.7319
attention_weight,0.20,0.0811,nan,2.8478
attention_weight,0.30,0.1701,nan,3.4603
attention_weight,0.50,0.2391,nan,4.8436
magnitude,0.05,0.0039,nan,0.9939
magnitude,0.10,0.0349,nan,1.7319
magnitude,0.20,0.1398,nan,2.7657
magnitude,0.30,0.1786,nan,3.4478
magnitude,0.50,0.2675,nan,4.9029
random,0.05,0.0017,nan,1.1178
random,0.10,0.0389,nan,2.3669
random,0.20,0.0958,nan,3.3941
random,0.30,0.1287,nan,4.2118
random,0.50,0.2091,nan,5.5716
