sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,160.3002,18.2792,142.0209,9.5570,0.4242,0.1286
weight,2,132.2516,17.3521,114.8994,9.5352,0.4326,0.1505
