layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,3.98744,2.33838,1.64907,1.9578,7.2280,0.0000,0.5527,0.06186,0.3727
1,12,5.77304,3.49613,2.27691,1.8476,7.0082,0.0000,0.6047,0.05470,0.3727
2,12,7.76010,3.97033,3.78978,1.4881,6.9500,0.0000,0.6268,0.05029,0.3727
3,12,5.17841,2.85264,2.32576,1.3622,7.1184,0.0000,0.5870,0.05871,0.4330
4,12,6.52505,2.58226,3.94279,0.7183,6.9403,0.0000,0.6293,0.05228,0.2764
5,12,8.54609,3.15850,5.38759,0.6133,6.6085,0.0000,0.6979,0.03756,0.0000
6,12,7.71131,2.97741,4.73390,0.6448,6.7672,0.0000,0.6709,0.04304,0.0000
7,12,8.50104,3.42273,5.07831,0.7578,6.6360,0.0000,0.6877,0.03993,0.3727
8,12,7.31573,2.88434,4.43139,0.7621,6.7908,0.0000,0.6593,0.04828,0.4330
9,12,6.53299,2.69721,3.83578,0.8982,6.8926,0.0000,0.6376,0.05076,0.4330
10,12,11.88974,6.53954,5.35020,1.3054,6.7915,0.0000,0.6677,0.04606,0.3727
11,12,13.68607,7.66778,6.01829,1.2791,6.6784,0.0000,0.6903,0.04433,0.2764
