layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,3.70535,2.02927,1.67608,1.7522,7.2276,0.0000,0.5503,0.06047,0.4930
1,12,5.74068,2.57494,3.16574,1.1128,6.9049,0.0000,0.6331,0.05173,0.4930
2,12,6.83194,2.82034,4.01160,0.8706,6.9490,0.0000,0.6263,0.05112,0.4714
3,12,4.91514,2.39065,2.52449,1.1208,7.0854,0.0000,0.5952,0.05993,0.5000
4,12,6.95314,2.70557,4.24757,0.6969,6.7819,0.0000,0.6613,0.04644,0.2764
5,12,8.89082,3.39525,5.49556,0.6522,6.4294,0.0000,0.7305,0.03070,0.0000
6,12,8.18109,3.13612,5.04496,0.6441,6.6796,0.0000,0.6889,0.04007,0.0000
7,12,8.51526,3.47816,5.03709,0.8326,6.5324,0.0000,0.7149,0.03098,0.2764
8,12,7.46736,2.99650,4.47086,0.7917,6.6415,0.0000,0.6858,0.03873,0.4714
9,12,6.62095,2.98436,3.63659,1.0007,6.6904,0.0000,0.6756,0.04367,0.4330
10,12,8.83955,4.84936,3.99019,1.3176,6.8830,0.0000,0.6483,0.05001,0.2764
11,12,7.87169,4.13169,3.74000,1.1293,6.8711,0.0000,0.6516,0.04800,0.0000
