anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
rock,db4,genre,2,0.10,0.9998,34.195,0.2823,1.000
rock,db4,genre,2,0.20,0.9981,24.291,0.8832,1.000
rock,db4,genre,2,0.30,0.9935,18.868,1.6484,1.000
rock,db4,genre,2,0.40,0.9839,14.950,2.5887,1.000
rock,db4,genre,2,0.50,0.9669,11.870,3.6896,1.000
rock,db4,stone,2,0.10,0.9998,33.286,0.3110,1.000
rock,db4,stone,2,0.20,0.9979,23.781,0.9288,1.000
rock,db4,stone,2,0.30,0.9925,18.239,1.7580,1.000
rock,db4,stone,2,0.40,0.9819,14.460,2.7162,1.000
rock,db4,stone,2,0.50,0.9629,11.386,3.8719,1.000
