sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,295.3698,22.1882,252.9653,9.5640,0.4255,0.0876
river,3,289.2155,20.1244,253.4677,9.5785,0.4187,0.0793
