i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.9971,0.9966,341.8335,109.6294
0,2,factory,factory,Y,0.9975,0.9965,908.2849,3396.4645
0,3,factory,factory,Y,0.9989,0.9987,1122.5191,5765.7133
0,4,factory,organism,N,0.9961,0.9956,1003.6478,5561.9138
1,2,organism,factory,N,0.9982,0.9981,566.4514,3286.8351
1,3,organism,factory,N,0.9971,0.9969,780.6856,5656.0839
1,4,organism,organism,Y,0.9976,0.9976,661.8144,5452.2844
2,3,factory,factory,Y,0.9982,0.9975,214.2342,2369.2488
2,4,factory,organism,N,0.9973,0.9972,95.3630,2165.4493
3,4,factory,organism,N,0.9957,0.9956,118.8712,203.7996
