layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.97123,5.75535,5.21589,1.4078,6.6074,0.0000,0.7072,0.02748,0.4714
1,12,8.84032,4.30996,4.53037,0.9895,6.4603,0.0000,0.7310,0.01892,0.4714
2,12,8.80888,4.15485,4.65403,0.9843,6.6011,0.0000,0.6976,0.02811,0.4930
3,12,10.35769,4.70859,5.64909,0.9337,6.5340,0.0000,0.7075,0.02668,0.4930
4,12,11.65093,4.97559,6.67534,0.8643,6.4013,0.0000,0.7312,0.02518,0.4330
5,12,11.53255,4.58984,6.94271,0.8040,6.2255,0.0000,0.7632,0.01524,0.4330
6,12,11.33326,4.45019,6.88307,0.7556,6.1316,0.0000,0.7736,0.01560,0.3727
7,12,12.17116,4.64391,7.52726,0.6615,6.0952,0.0000,0.7803,0.01532,0.2764
8,12,11.68942,4.61774,7.07168,0.7008,6.0586,0.0000,0.7859,0.01347,0.2764
9,12,12.86374,4.69681,8.16693,0.6426,5.9293,0.0000,0.8015,0.01118,0.2764
10,12,12.91942,4.73772,8.18170,0.6007,5.9429,0.0000,0.8001,0.00988,0.0000
11,12,11.21517,4.82870,6.38647,0.9547,6.1217,0.0000,0.7722,0.01646,0.4714
