i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,boat,verb,N,0.9981,0.9979,71.3429,750.4284
0,2,boat,boat,Y,0.9987,0.9984,100.0501,380.9290
0,3,boat,verb,N,0.9977,0.9973,961.0841,10774.8541
1,2,verb,boat,N,0.9987,0.9985,171.3931,1131.3573
1,3,verb,verb,Y,0.9990,0.9988,889.7411,10024.4257
2,3,boat,verb,N,0.9987,0.9985,1061.1342,11155.7830
