sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,61720.1333,5149.8010,52437.2594,6.9569,0.8537,0.0982
verb,2,68631.3217,5716.0396,58390.3651,6.9797,0.8516,0.0980
