token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,coif2,0.10,0.9999,35.279,0.0179,0.000,0.0001
2,coif2,0.20,0.9987,25.907,0.0526,0.000,0.0013
2,coif2,0.30,0.9950,20.016,0.1037,0.000,0.0050
2,coif2,0.40,0.9880,16.223,0.1605,0.000,0.0120
2,coif2,0.50,0.9755,13.146,0.2287,0.000,0.0245
##s,coif2,0.10,0.9999,35.399,0.0189,0.000,0.0001
##s,coif2,0.20,0.9990,26.973,0.0499,0.000,0.0010
##s,coif2,0.30,0.9962,21.154,0.0975,0.000,0.0038
##s,coif2,0.40,0.9899,16.963,0.1580,0.000,0.0101
##s,coif2,0.50,0.9788,13.771,0.2282,0.000,0.0212
happy,coif2,0.10,0.9998,33.745,0.0247,0.000,0.0002
happy,coif2,0.20,0.9984,24.836,0.0688,0.000,0.0016
happy,coif2,0.30,0.9949,19.955,0.1206,0.000,0.0051
happy,coif2,0.40,0.9880,16.228,0.1853,0.000,0.0120
happy,coif2,0.50,0.9774,13.492,0.2539,0.000,0.0226
million,coif2,0.10,0.9997,32.463,0.0299,0.000,0.0003
million,coif2,0.20,0.9979,23.770,0.0814,0.000,0.0021
million,coif2,0.30,0.9939,19.137,0.1387,0.000,0.0061
million,coif2,0.40,0.9860,15.551,0.2096,0.000,0.0140
million,coif2,0.50,0.9740,12.893,0.2847,0.000,0.0260
[SEP],coif2,0.10,0.9999,36.866,0.0173,0.000,0.0001
[SEP],coif2,0.20,0.9993,28.510,0.0453,0.000,0.0007
[SEP],coif2,0.30,0.9976,23.207,0.0834,0.000,0.0024
[SEP],coif2,0.40,0.9943,19.445,0.1286,0.000,0.0057
[SEP],coif2,0.50,0.9882,16.291,0.1850,0.000,0.0118
[PAD],coif2,0.10,0.9999,39.336,0.0154,0.000,0.0001
[PAD],coif2,0.20,0.9995,29.666,0.0470,0.000,0.0005
[PAD],coif2,0.30,0.9981,24.205,0.0881,0.053,0.0019
[PAD],coif2,0.40,0.9952,20.145,0.1407,0.000,0.0048
[PAD],coif2,0.50,0.9906,17.259,0.1961,0.053,0.0094
is,coif2,0.10,0.9999,35.272,0.0166,0.000,0.0001
is,coif2,0.20,0.9988,26.089,0.0477,0.000,0.0012
is,coif2,0.30,0.9956,20.544,0.0904,0.000,0.0044
is,coif2,0.40,0.9886,16.452,0.1448,0.000,0.0114
is,coif2,0.50,0.9760,13.236,0.2097,0.000,0.0240
queen,coif2,0.10,0.9998,34.490,0.0232,0.000,0.0002
queen,coif2,0.20,0.9983,24.725,0.0714,0.000,0.0017
queen,coif2,0.30,0.9939,19.183,0.1352,0.000,0.0061
queen,coif2,0.40,0.9857,15.467,0.2074,0.000,0.0143
queen,coif2,0.50,0.9726,12.678,0.2860,0.000,0.0274
?,coif2,0.10,0.9999,35.564,0.0161,0.000,0.0001
?,coif2,0.20,0.9989,26.665,0.0450,0.000,0.0011
?,coif2,0.30,0.9957,20.641,0.0900,0.000,0.0043
?,coif2,0.40,0.9892,16.698,0.1417,0.000,0.0108
?,coif2,0.50,0.9760,13.234,0.2112,0.000,0.0240
1,coif2,0.10,0.9998,35.172,0.0180,0.000,0.0002
1,coif2,0.20,0.9985,25.350,0.0559,0.000,0.0015
1,coif2,0.30,0.9950,20.007,0.1034,0.000,0.0050
1,coif2,0.40,0.9886,16.427,0.1561,0.000,0.0114
1,coif2,0.50,0.9756,13.175,0.2270,0.000,0.0244
sad,coif2,0.10,0.9999,35.253,0.0256,0.000,0.0001
sad,coif2,0.20,0.9989,26.749,0.0681,0.000,0.0011
sad,coif2,0.30,0.9961,21.077,0.1309,0.000,0.0039
sad,coif2,0.40,0.9909,17.427,0.1993,0.000,0.0091
sad,coif2,0.50,0.9824,14.585,0.2764,0.000,0.0176
",",coif2,0.10,0.9999,37.462,0.0126,0.000,0.0001
",",coif2,0.20,0.9992,28.069,0.0372,0.000,0.0008
",",coif2,0.30,0.9973,22.651,0.0694,0.000,0.0027
",",coif2,0.40,0.9929,18.466,0.1124,0.000,0.0071
",",coif2,0.50,0.9854,15.369,0.1605,0.000,0.0146
100,coif2,0.10,0.9999,35.689,0.0209,0.053,0.0001
100,coif2,0.20,0.9991,27.370,0.0546,0.053,0.0009
100,coif2,0.30,0.9964,21.445,0.1080,0.053,0.0036
100,coif2,0.40,0.9905,17.230,0.1754,0.053,0.0095
100,coif2,0.50,0.9806,14.153,0.2500,0.053,0.0194
thousand,coif2,0.10,0.9998,34.399,0.0260,0.000,0.0002
thousand,coif2,0.20,0.9984,24.852,0.0781,0.000,0.0016
thousand,coif2,0.30,0.9946,19.677,0.1417,0.000,0.0054
thousand,coif2,0.40,0.9875,16.036,0.2156,0.000,0.0125
thousand,coif2,0.50,0.9738,12.868,0.3104,0.000,0.0262
man,coif2,0.10,0.9996,31.327,0.0295,0.000,0.0004
man,coif2,0.20,0.9979,23.817,0.0699,0.000,0.0021
man,coif2,0.30,0.9923,18.153,0.1342,0.000,0.0077
man,coif2,0.40,0.9844,15.096,0.1909,0.000,0.0156
man,coif2,0.50,0.9697,12.237,0.2653,0.000,0.0303
city,coif2,0.10,0.9997,31.894,0.0266,0.000,0.0003
city,coif2,0.20,0.9981,24.221,0.0644,0.000,0.0019
city,coif2,0.30,0.9934,18.786,0.1205,0.000,0.0066
city,coif2,0.40,0.9854,15.385,0.1782,0.000,0.0146
city,coif2,0.50,0.9699,12.269,0.2551,0.000,0.0301
read,coif2,0.10,0.9998,34.770,0.0244,0.000,0.0002
read,coif2,0.20,0.9989,26.742,0.0614,0.000,0.0011
read,coif2,0.30,0.9962,21.199,0.1162,0.000,0.0038
read,coif2,0.40,0.9909,17.422,0.1795,0.000,0.0091
read,coif2,0.50,0.9790,13.810,0.2720,0.000,0.0210
the,coif2,0.10,0.9999,37.290,0.0131,0.000,0.0001
the,coif2,0.20,0.9993,28.478,0.0361,0.000,0.0007
the,coif2,0.30,0.9972,22.578,0.0712,0.000,0.0028
the,coif2,0.40,0.9930,18.537,0.1133,0.000,0.0070
the,coif2,0.50,0.9854,15.373,0.1631,0.000,0.0146
it,coif2,0.10,0.9997,32.650,0.0220,0.000,0.0003
it,coif2,0.20,0.9985,25.095,0.0526,0.000,0.0015
it,coif2,0.30,0.9953,20.244,0.0920,0.000,0.0047
it,coif2,0.40,0.9879,16.204,0.1464,0.000,0.0121
it,coif2,0.50,0.9754,13.133,0.2085,0.000,0.0246
king,coif2,0.10,0.9998,33.350,0.0243,0.000,0.0002
king,coif2,0.20,0.9980,23.983,0.0715,0.000,0.0020
king,coif2,0.30,0.9933,18.766,0.1304,0.000,0.0067
king,coif2,0.40,0.9844,15.104,0.1988,0.000,0.0156
king,coif2,0.50,0.9706,12.372,0.2722,0.000,0.0294
ugly,coif2,0.10,0.9999,36.751,0.0216,0.000,0.0001
ugly,coif2,0.20,0.9989,26.602,0.0694,0.000,0.0011
ugly,coif2,0.30,0.9962,21.200,0.1293,0.000,0.0038
ugly,coif2,0.40,0.9901,17.059,0.2083,0.000,0.0099
ugly,coif2,0.50,0.9795,13.921,0.2990,0.000,0.0205
computer,coif2,0.10,0.9998,34.077,0.0235,0.000,0.0002
computer,coif2,0.20,0.9986,25.499,0.0631,0.000,0.0014
computer,coif2,0.30,0.9947,19.752,0.1222,0.000,0.0053
computer,coif2,0.40,0.9877,16.134,0.1854,0.000,0.0123
computer,coif2,0.50,0.9753,13.121,0.2623,0.000,0.0247
apple,coif2,0.10,0.9999,35.627,0.0235,0.000,0.0001
apple,coif2,0.20,0.9988,26.033,0.0708,0.000,0.0012
apple,coif2,0.30,0.9955,20.485,0.1341,0.000,0.0045
apple,coif2,0.40,0.9875,16.053,0.2234,0.000,0.0125
apple,coif2,0.50,0.9757,13.180,0.3110,0.000,0.0243
language,coif2,0.10,0.9998,34.620,0.0224,0.000,0.0002
language,coif2,0.20,0.9986,25.475,0.0643,0.000,0.0014
language,coif2,0.30,0.9944,19.524,0.1276,0.000,0.0056
language,coif2,0.40,0.9871,15.897,0.1937,0.000,0.0129
language,coif2,0.50,0.9735,12.817,0.2762,0.000,0.0265
orange,coif2,0.10,0.9998,34.955,0.0239,0.000,0.0002
orange,coif2,0.20,0.9987,25.901,0.0678,0.000,0.0013
