sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,127.2077,15.7110,111.4967,9.5522,0.4230,0.1407
verb,2,120.2656,15.3077,104.9579,9.5664,0.4136,0.1463
