layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.43528,2.71267,1.72261,2.2728,7.2474,0.0000,0.5449,0.06264,0.2764
1,12,5.99792,3.68802,2.30990,2.0168,7.0089,0.0000,0.6024,0.05542,0.3727
2,12,7.62533,4.05616,3.56916,1.6602,7.0057,0.0000,0.6116,0.05569,0.3727
3,12,5.52791,3.35640,2.17151,2.0368,7.1030,0.0000,0.5851,0.05602,0.3727
4,12,6.93488,4.44233,2.49255,1.8312,6.8899,0.0000,0.6323,0.05002,0.0000
5,12,8.73061,5.65912,3.07148,1.9192,6.6226,0.0000,0.6921,0.03581,0.0000
6,12,8.71750,5.43430,3.28320,1.7150,6.7011,0.0000,0.6843,0.03673,0.0000
7,12,9.07489,5.90200,3.17289,1.9809,6.5745,0.0000,0.7023,0.03381,0.0000
8,12,8.39004,5.73401,2.65603,2.4113,6.4983,0.0000,0.7087,0.03056,0.0000
9,12,7.52800,5.24068,2.28732,2.4203,6.5543,0.0000,0.6972,0.03371,0.0000
10,12,11.74825,6.38083,5.36742,1.4822,6.7173,0.0000,0.6834,0.03973,0.3727
11,12,8.99507,6.76071,2.23436,3.1839,6.4972,0.0000,0.7199,0.02177,0.0000
