layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,5,4,1,4
0,1,6,3,0,4
0,2,0,1,3,1
0,3,2,2,1,1
0,4,6,7,7,3
0,5,6,3,0,4
0,6,6,7,7,4
0,7,6,3,0,4
0,8,6,7,7,4
0,9,6,7,7,4
0,10,2,2,2,3
0,11,6,7,7,4
1,0,0,7,3,4
1,1,7,1,4,3
1,2,6,3,0,4
1,3,2,2,1,4
1,4,7,1,4,1
1,5,0,7,7,3
1,6,1,0,5,3
1,7,0,1,3,3
1,8,5,4,1,3
1,9,0,4,1,3
1,10,0,1,3,3
1,11,6,3,0,4
2,0,3,6,4,3
2,1,2,2,1,4
2,2,0,2,1,4
2,3,6,7,7,3
2,4,0,1,3,3
2,5,6,7,7,3
2,6,6,3,0,4
2,7,6,7,7,3
2,8,6,3,0,3
2,9,3,6,4,3
2,10,0,1,3,4
2,11,0,7,3,3
3,0,6,1,4,3
3,1,6,7,7,3
3,2,6,7,7,0
3,3,0,1,3,3
3,4,6,7,7,4
3,5,7,1,4,1
3,6,6,7,7,3
3,7,6,7,7,3
3,8,6,3,0,4
3,9,7,1,4,3
3,10,6,3,0,3
3,11,0,1,3,1
4,0,2,2,2,0
4,1,6,7,7,0
4,2,0,1,3,0
4,3,2,1,2,0
4,4,6,3,0,0
4,5,7,2,2,0
4,6,0,1,3,3
4,7,7,1,2,1
4,8,0,1,3,0
4,9,0,1,3,0
4,10,7,1,3,7
4,11,7,1,2,0
5,0,2,2,1,0
5,1,1,0,5,5
5,2,0,1,3,0
5,3,0,1,3,7
5,4,6,3,0,0
5,5,2,2,1,0
5,6,1,0,5,5
5,7,7,2,2,5
5,8,0,1,3,0
5,9,7,1,2,0
5,10,2,2,1,1
5,11,7,2,2,0
6,0,7,1,4,7
6,1,7,1,4,0
6,2,2,2,2,6
6,3,1,0,5,1
6,4,7,2,2,7
6,5,7,1,4,1
6,6,2,2,1,5
6,7,0,1,3,0
6,8,2,2,1,0
6,9,2,2,1,1
6,10,2,2,2,5
6,11,7,1,4,6
7,0,0,1,3,7
7,1,7,1,2,0
7,2,2,2,2,0
7,3,1,0,5,5
7,4,2,2,1,1
7,5,6,7,7,0
7,6,1,0,5,5
7,7,1,0,5,6
7,8,0,4,1,3
7,9,2,2,1,1
7,10,7,1,4,0
7,11,1,0,5,6
8,0,2,2,1,5
8,1,5,4,1,0
8,2,1,0,5,5
8,3,0,1,3,0
8,4,7,2,2,7
8,5,7,1,2,5
8,6,1,0,5,5
8,7,6,7,7,0
8,8,6,7,7,0
8,9,0,1,3,0
8,10,7,1,4,0
8,11,0,2,1,3
9,0,2,2,2,5
9,1,0,1,3,5
9,2,6,3,0,0
9,3,2,2,1,5
9,4,0,1,3,0
9,5,6,3,0,0
9,6,4,0,6,5
9,7,2,2,2,0
9,8,6,7,7,4
9,9,1,0,5,5
9,10,7,1,4,0
9,11,5,4,1,2
10,0,0,7,7,4
10,1,3,5,5,2
10,2,2,2,2,2
10,3,2,2,1,2
10,4,2,2,2,2
10,5,3,5,5,2
10,6,3,5,5,2
10,7,2,2,2,2
10,8,0,7,7,4
10,9,3,5,5,2
10,10,6,3,0,4
10,11,2,2,2,2
11,0,4,0,6,2
11,1,4,0,6,2
11,2,5,4,6,2
11,3,4,0,6,2
11,4,4,0,6,2
11,5,4,0,6,2
11,6,4,0,6,2
11,7,1,0,5,2
11,8,0,1,3,4
11,9,5,4,1,2
11,10,4,0,6,2
11,11,1,0,5,2
