anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,db4,boat,2,0.10,1.0000,59.535,0.2515,1.000
ship,db4,boat,2,0.20,1.0000,50.929,0.6758,1.000
ship,db4,boat,2,0.30,1.0000,45.778,1.2236,1.000
ship,db4,boat,2,0.40,1.0000,41.959,1.8971,1.000
ship,db4,boat,2,0.50,0.9999,38.983,2.6723,1.000
ship,db4,verb,2,0.10,1.0000,60.756,0.2291,1.000
ship,db4,verb,2,0.20,1.0000,51.329,0.6800,1.000
ship,db4,verb,2,0.30,1.0000,45.820,1.2875,1.000
ship,db4,verb,2,0.40,1.0000,41.932,2.0135,1.000
ship,db4,verb,2,0.50,0.9999,38.921,2.8384,1.000
