predictor,ratio,cosine_drop,kl_div,attention_drift
wavelet,0.05,0.0012,0.8564,1.9555
wavelet,0.10,0.0009,0.2126,2.6831
wavelet,0.20,0.0002,0.0202,3.9529
wavelet,0.30,0.0003,0.0137,5.0297
wavelet,0.50,0.0005,0.0167,6.7645
wavelet_entropy,0.05,0.0012,0.8564,1.9555
wavelet_entropy,0.10,0.0009,0.2687,2.7036
wavelet_entropy,0.20,0.0002,0.0202,3.9529
wavelet_entropy,0.30,0.0003,0.0131,5.0034
wavelet_entropy,0.50,0.0004,0.0150,6.7601
attention_entropy,0.05,0.0012,0.8564,1.9555
attention_entropy,0.10,0.0009,0.2687,2.7036
attention_entropy,0.20,0.0002,0.0202,3.9529
attention_entropy,0.30,0.0003,0.0131,5.0034
attention_entropy,0.50,0.0004,0.0150,6.7601
attention_entropy_true,0.05,0.0014,0.8775,2.0728
attention_entropy_true,0.10,0.0042,11.2603,3.2757
attention_entropy_true,0.20,0.0324,13.2755,4.6619
attention_entropy_true,0.30,0.0002,0.0921,5.5234
attention_entropy_true,0.50,0.0003,0.0701,7.0523
attention_weight,0.05,0.0042,0.0644,4.1732
attention_weight,0.10,0.0026,0.3406,4.1222
attention_weight,0.20,0.0018,0.3397,3.9177
attention_weight,0.30,0.0010,0.3430,4.2128
attention_weight,0.50,0.0036,0.3452,5.7907
magnitude,0.05,0.0042,0.0644,4.1732
magnitude,0.10,0.0009,0.0534,2.1405
magnitude,0.20,0.0014,0.3415,3.5485
magnitude,0.30,0.0010,0.3431,4.1469
magnitude,0.50,0.0029,0.3440,5.7641
random,0.05,0.0001,0.0236,1.7409
random,0.10,0.0004,0.0493,2.5161
random,0.20,0.0025,0.0628,4.2795
random,0.30,0.0031,0.1368,5.2154
random,0.50,0.0048,0.3304,6.6779
