sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
correspond,2,137.4721,17.4086,120.0634,9.5449,0.4292,0.1448
firestick,1,146.2640,17.9043,128.3597,9.5535,0.4270,0.1395
game,2,197.9488,28.1514,169.7974,9.5765,0.4180,0.1608
