i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.4038,0.3871,20.0741,91.5073
0,2,game,firestick,N,0.4378,0.4259,20.7177,86.6075
0,3,game,correspond,N,0.3614,0.3597,22.3526,98.3002
0,4,game,game,Y,0.6309,0.6214,20.9413,90.3395
1,2,correspond,firestick,N,0.5616,0.5408,0.6436,4.8999
1,3,correspond,correspond,Y,0.7641,0.7473,2.2785,6.7929
1,4,correspond,game,N,0.4945,0.4747,0.8672,1.1678
2,3,firestick,correspond,N,0.5414,0.5203,1.6349,11.6927
2,4,firestick,game,N,0.5603,0.5383,0.2236,3.7320
3,4,correspond,game,N,0.4600,0.4409,1.4113,7.9607
