sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,60273.1766,2966.0129,53797.8751,7.3006,0.8402,0.0551
stone,2,55093.9080,2753.7420,49166.0867,7.2457,0.8436,0.0560
