token,index,energy,entropy,info_score
glas,14391,27.7744,9.5885,32.2125
oru,27786,27.9230,9.5735,32.2115
aram,41158,27.6580,9.5996,32.2108
oland,23573,27.5570,9.6086,32.2071
ature,1300,27.6413,9.5999,32.2061
ĠImmunity,46824,28.1636,9.5484,32.2060
WAY,27285,27.7651,9.5839,32.1938
hirt,49756,27.8068,9.5791,32.1917
ĠLovecraft,37655,27.4202,9.6176,32.1909
hawk,40624,27.9960,9.5584,32.1848
pan,6839,27.5735,9.5973,32.1748
cible,37369,27.6163,9.5918,32.1705
avid,8490,27.5987,9.5915,32.1638
ixties,46550,27.7964,9.5701,32.1580
fuck,31699,27.5419,9.5945,32.1546
phans,44464,28.0197,9.5451,32.1475
roup,3233,27.7242,9.5718,32.1395
olit,6212,27.3738,9.6065,32.1382
ittee,2979,27.8050,9.5607,32.1293
fram,19298,27.4822,9.5925,32.1278
acles,9928,27.6496,9.5753,32.1266
istration,33397,27.5588,9.5829,32.1217
ãĥĵ,36922,27.2751,9.6102,32.1172
edu,15532,27.4794,9.5858,32.1044
MU,42422,27.3320,9.5991,32.0994
ĠSynd,19148,27.4533,9.5861,32.0969
-|,22831,27.3209,9.5953,32.0828
otten,4728,27.4684,9.5783,32.0759
