category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
noun,9,21.7115,0.3963,2.6694,19.0422,0.141,9.5895,0.042,0.039,0.414,1.366,29.877
adjective,7,21.3178,0.3055,2.7795,18.5383,0.151,9.5911,0.102,0.067,0.414,1.361,29.759
verb,11,20.1501,0.3835,2.6301,17.5200,0.151,9.5916,-0.004,-0.056,0.413,1.363,29.165
punctuation,7,14.0307,0.2967,1.6958,12.3349,0.138,9.4051,0.872,9.643,0.474,1.486,25.476
other,13,13.1426,0.1686,1.5425,11.6001,0.131,9.5422,0.115,2.609,0.432,1.392,25.081
number,4,11.2766,0.1788,1.3337,9.9429,0.136,9.5514,0.080,0.675,0.432,1.390,23.935
