token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,sym4,0.10,0.9998,33.698,0.0589,0.000,0.0002
2,sym4,0.20,0.9982,24.516,0.1694,0.000,0.0018
2,sym4,0.30,0.9936,18.967,0.3210,0.000,0.0064
2,sym4,0.40,0.9832,14.779,0.5199,0.000,0.0168
2,sym4,0.50,0.9644,11.557,0.7533,0.000,0.0356
happy,sym4,0.10,0.9997,32.608,0.0939,0.000,0.0003
happy,sym4,0.20,0.9980,23.958,0.2541,0.000,0.0020
happy,sym4,0.30,0.9933,18.746,0.4631,0.000,0.0067
happy,sym4,0.40,0.9843,15.061,0.7079,0.000,0.0157
happy,sym4,0.50,0.9675,11.936,1.0144,0.000,0.0325
million,sym4,0.10,0.9998,33.661,0.0803,0.000,0.0002
million,sym4,0.20,0.9984,24.882,0.2207,0.000,0.0016
million,sym4,0.30,0.9941,19.284,0.4204,0.000,0.0059
million,sym4,0.40,0.9860,15.565,0.6451,0.000,0.0140
million,sym4,0.50,0.9704,12.342,0.9349,0.000,0.0296
is,sym4,0.10,0.9998,33.090,0.0764,0.053,0.0002
is,sym4,0.20,0.9981,24.115,0.2148,0.053,0.0019
is,sym4,0.30,0.9932,18.662,0.4023,0.053,0.0068
is,sym4,0.40,0.9824,14.583,0.6435,0.053,0.0176
is,sym4,0.50,0.9661,11.759,0.8907,0.053,0.0339
?,sym4,0.10,0.9998,33.367,0.0674,0.000,0.0002
?,sym4,0.20,0.9982,24.343,0.1906,0.000,0.0018
?,sym4,0.30,0.9940,19.208,0.3442,0.053,0.0060
?,sym4,0.40,0.9852,15.313,0.5390,0.053,0.0148
?,sym4,0.50,0.9692,12.172,0.7739,0.053,0.0308
1,sym4,0.10,0.9998,33.365,0.0620,0.000,0.0002
1,sym4,0.20,0.9980,24.031,0.1816,0.000,0.0020
1,sym4,0.30,0.9937,18.980,0.3249,0.000,0.0063
1,sym4,0.40,0.9855,15.413,0.4898,0.000,0.0145
1,sym4,0.50,0.9714,12.481,0.6864,0.000,0.0286
",",sym4,0.10,0.9999,37.743,0.0399,0.000,0.0001
",",sym4,0.20,0.9992,27.803,0.1253,0.000,0.0008
",",sym4,0.30,0.9976,23.118,0.2149,0.000,0.0024
",",sym4,0.40,0.9942,19.333,0.3323,0.000,0.0058
",",sym4,0.50,0.9881,16.276,0.4725,0.000,0.0119
100,sym4,0.10,0.9998,33.409,0.0670,0.053,0.0002
100,sym4,0.20,0.9980,23.957,0.1990,0.053,0.0020
100,sym4,0.30,0.9928,18.435,0.3759,0.053,0.0072
100,sym4,0.40,0.9836,14.890,0.5653,0.053,0.0164
100,sym4,0.50,0.9657,11.718,0.8145,0.053,0.0343
man,sym4,0.10,0.9998,33.437,0.0759,0.000,0.0002
man,sym4,0.20,0.9981,24.109,0.2221,0.000,0.0019
man,sym4,0.30,0.9929,18.487,0.4243,0.000,0.0071
man,sym4,0.40,0.9833,14.808,0.6480,0.000,0.0167
man,sym4,0.50,0.9668,11.851,0.9108,0.000,0.0332
city,sym4,0.10,0.9999,35.298,0.0675,0.000,0.0001
city,sym4,0.20,0.9984,25.035,0.2200,0.000,0.0016
city,sym4,0.30,0.9944,19.489,0.4166,0.000,0.0056
city,sym4,0.40,0.9859,15.532,0.6570,0.000,0.0141
city,sym4,0.50,0.9677,11.963,0.9909,0.000,0.0323
read,sym4,0.10,0.9998,33.784,0.0783,0.000,0.0002
read,sym4,0.20,0.9981,24.094,0.2390,0.000,0.0019
read,sym4,0.30,0.9935,18.892,0.4350,0.000,0.0065
read,sym4,0.40,0.9832,14.782,0.6982,0.000,0.0168
read,sym4,0.50,0.9663,11.784,0.9860,0.000,0.0337
Ġand,sym4,0.10,0.9998,33.791,0.0532,0.000,0.0002
Ġand,sym4,0.20,0.9987,25.782,0.1338,0.000,0.0013
Ġand,sym4,0.30,0.9954,20.394,0.2488,0.000,0.0046
Ġand,sym4,0.40,0.9889,16.546,0.3875,0.000,0.0111
Ġand,sym4,0.50,0.9792,13.863,0.5277,0.000,0.0208
the,sym4,0.10,0.9998,33.248,0.0652,0.000,0.0002
the,sym4,0.20,0.9982,24.390,0.1807,0.000,0.0018
the,sym4,0.30,0.9938,19.104,0.3322,0.000,0.0062
the,sym4,0.40,0.9847,15.185,0.5216,0.000,0.0153
the,sym4,0.50,0.9670,11.874,0.7636,0.000,0.0330
it,sym4,0.10,0.9997,32.023,0.0856,0.000,0.0003
it,sym4,0.20,0.9978,23.642,0.2248,0.000,0.0022
it,sym4,0.30,0.9931,18.594,0.4020,0.000,0.0069
it,sym4,0.40,0.9849,15.243,0.5912,0.000,0.0151
it,sym4,0.50,0.9689,12.126,0.8464,0.000,0.0311
king,sym4,0.10,0.9997,31.735,0.1075,0.053,0.0003
king,sym4,0.20,0.9975,22.991,0.2942,0.053,0.0025
king,sym4,0.30,0.9923,18.136,0.5146,0.053,0.0077
king,sym4,0.40,0.9798,13.975,0.8309,0.053,0.0202
king,sym4,0.50,0.9580,10.851,1.1905,0.053,0.0420
computer,sym4,0.10,0.9998,33.444,0.0812,0.000,0.0002
computer,sym4,0.20,0.9982,24.461,0.2283,0.000,0.0018
computer,sym4,0.30,0.9933,18.769,0.4397,0.000,0.0067
computer,sym4,0.40,0.9837,14.903,0.6862,0.000,0.0163
computer,sym4,0.50,0.9653,11.657,0.9971,0.000,0.0347
apple,sym4,0.10,0.9997,32.093,0.1124,0.053,0.0003
apple,sym4,0.20,0.9975,22.937,0.3227,0.053,0.0025
apple,sym4,0.30,0.9917,17.826,0.5812,0.053,0.0083
apple,sym4,0.40,0.9793,13.871,0.9163,0.053,0.0207
apple,sym4,0.50,0.9579,10.835,1.2997,0.053,0.0421
language,sym4,0.10,0.9997,31.951,0.1044,0.000,0.0003
language,sym4,0.20,0.9978,23.626,0.2723,0.000,0.0022
language,sym4,0.30,0.9923,18.144,0.5119,0.000,0.0077
language,sym4,0.40,0.9815,14.367,0.7907,0.000,0.0185
language,sym4,0.50,0.9640,11.500,1.1000,0.000,0.0360
orange,sym4,0.10,0.9997,32.282,0.0945,0.000,0.0003
orange,sym4,0.20,0.9976,23.202,0.2688,0.000,0.0024
orange,sym4,0.30,0.9919,17.931,0.4931,0.000,0.0081
orange,sym4,0.40,0.9829,14.709,0.7145,0.000,0.0171
orange,sym4,0.50,0.9641,11.513,1.0323,0.000,0.0359
for,sym4,0.10,0.9997,32.395,0.0783,0.000,0.0003
for,sym4,0.20,0.9980,23.908,0.2080,0.000,0.0020
for,sym4,0.30,0.9931,18.644,0.3814,0.000,0.0069
for,sym4,0.40,0.9838,14.919,0.5856,0.000,0.0162
for,sym4,0.50,0.9665,11.812,0.8374,0.000,0.0335
write,sym4,0.10,0.9997,31.846,0.1020,0.000,0.0003
write,sym4,0.20,0.9971,22.439,0.3012,0.000,0.0029
write,sym4,0.30,0.9911,17.500,0.5319,0.000,0.0089
write,sym4,0.40,0.9794,13.896,0.8054,0.000,0.0206
write,sym4,0.50,0.9602,11.077,1.1143,0.000,0.0398
woman,sym4,0.10,0.9997,32.733,0.0950,0.000,0.0003
woman,sym4,0.20,0.9980,24.081,0.2571,0.000,0.0020
woman,sym4,0.30,0.9936,18.920,0.4658,0.000,0.0064
woman,sym4,0.40,0.9836,14.871,0.7424,0.000,0.0164
woman,sym4,0.50,0.9683,12.045,1.0278,0.000,0.0317
tall,sym4,0.10,0.9997,32.868,0.0953,0.053,0.0003
tall,sym4,0.20,0.9983,24.774,0.2419,0.053,0.0017
tall,sym4,0.30,0.9940,19.193,0.4600,0.053,0.0060
tall,sym4,0.40,0.9834,14.818,0.7611,0.053,0.0166
tall,sym4,0.50,0.9647,11.586,1.1043,0.053,0.0353
