sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,53452.8964,7093.7138,46359.1826,7.0371,0.8455,0.1530
device,2,70637.0409,9449.1427,61187.8981,6.9260,0.8535,0.1546
